,name,price,first_name,last_name,above_100
39,Kathleen Moore,92.50052419,Kathleen,Moore,False
40,Evelyn Pineda,169.2289293,Evelyn,Pineda,True
41,Kyle Peters,106.7990952,Kyle,Peters,True
42,Anthony Cruz,49.10199817,Anthony,Cruz,False
43,Eric Flores,122.9556986,Eric,Flores,True
44,Anna Richardson,254.4952606,Anna,Richardson,True
45,Gary Harper,47.59652592,Gary,Harper,False
46,Linda Johnson,115.3627815,Linda,Johnson,True
47,Melissa Smith,87.97994846,Melissa,Smith,False
48,Kristen Floyd,135.0230413,Kristen,Floyd,True
49,William Diaz,192.1491355,William,Diaz,True
50,Benjamin Smith,134.9052939,Benjamin,Smith,True
51,David Glenn,216.2910463,David,Glenn,True
52,Dawn Jones,271.6144999,Dawn,Jones,True
53,Joel Smith,14.4949198,Joel,Smith,False
54,Mr. Larry Grimes MD,268.6758682,Mr.,Larry Grimes MD,True
55,Joseph Arnold,121.7750468,Joseph,Arnold,True
56,Kyle Long,241.6216391,Kyle,Long,True
57,Brittany Day,261.5460574,Brittany,Day,True
58,Bobby Ward,63.5130358,Bobby,Ward,False
59,Thomas Lee,254.0755771,Thomas,Lee,True
60,Jennifer Hansen,101.4887352,Jennifer,Hansen,True
61,Lisa Murray,176.0919174,Lisa,Murray,True
62,Meghan Wade,273.2303409,Meghan,Wade,True
63,Tammie Brooks,84.88856949,Tammie,Brooks,False
64,Maria Bell,264.0746652,Maria,Bell,True
65,Allison Livingston,130.3484426,Allison,Livingston,True
66,Chris Hays,17.34276379,Chris,Hays,False
67,Courtney Mitchell,78.93257699,Courtney,Mitchell,False
68,Shawn White,188.0219256,Shawn,White,True
69,Taylor Gomez,225.0198237,Taylor,Gomez,True
70,Jeremy Rodriguez,200.7248208,Jeremy,Rodriguez,True
71,April Garcia,66.24555967,April,Garcia,False
72,Zachary Watts,15.49738786,Zachary,Watts,False
73,Sarah Montoya,206.8212547,Sarah,Montoya,True
74,Jennifer Barker,89.18615989,Jennifer,Barker,False
75,Sharon Garza,72.35772704,Sharon,Garza,False
76,Tiffany Stevens,196.379322,Tiffany,Stevens,True
77,Ruben Armstrong,93.69836738,Ruben,Armstrong,False
78,Dr. Jeffrey Spencer,271.162282,Dr.,Jeffrey Spencer,True
79,Nicole Ramsey,247.8596071,Nicole,Ramsey,True
80,Anne Roy,277.9324821,Anne,Roy,True
81,Lori Sanchez,285.6616405,Lori,Sanchez,True
82,Allison Chavez,126.850211,Allison,Chavez,True
83,Marcus Adams,36.47040894,Marcus,Adams,False
84,Mary Smith,16.31507197,Mary,Smith,False
85,Joseph Reed,178.4576742,Joseph,Reed,True
86,Jason Armstrong,26.04525746,Jason,Armstrong,False
87,Jeff Armstrong,88.47561284,Jeff,Armstrong,False
88,Sean Shields,247.8395255,Sean,Shields,True
89,Jessica Allison,104.742308,Jessica,Allison,True
90,Christian Grant,99.11707917,Christian,Grant,False
91,Edward Watson,180.3535589,Edward,Watson,True
92,Derrick Cooke,142.090116,Derrick,Cooke,True
93,Arthur Hall MD,235.9669749,Arthur,Hall MD,True
94,Sean Patrick,139.4507994,Sean,Patrick,True
95,Heather Collins,127.3925734,Heather,Collins,True
96,Megan Gomez,107.8624451,Megan,Gomez,True
97,William Hale,114.6709254,William,Hale,True
98,Olivia Thompson,8.608441014,Olivia,Thompson,False
99,Lori Torres,18.85827433,Lori,Torres,False
100,Vickie Hernandez,214.9321807,Vickie,Hernandez,True
101,Kimberly Brown,40.3199327,Kimberly,Brown,False
102,Sherry Meza,182.8545499,Sherry,Meza,True
103,Phillip Hansen,44.11611704,Phillip,Hansen,False
104,Jeanette Knight,28.68694329,Jeanette,Knight,False
105,Kayla Hanson,27.63036397,Kayla,Hanson,False
106,James Johnston,284.4290554,James,Johnston,True
107,Dr. John Porter,53.72799274,Dr.,John Porter,False
108,Elizabeth Reyes,93.68075684,Elizabeth,Reyes,False
109,Kristen Henry,77.00624357,Kristen,Henry,False
110,Claudia Anderson,160.3401593,Claudia,Anderson,True
111,Nicholas Webb,18.71038619,Nicholas,Webb,False
112,Allison Cooper,206.0421068,Allison,Cooper,True
113,Zachary Barnes,280.7741315,Zachary,Barnes,True
114,Gregory Hill III,265.9765808,Gregory,Hill III,True
115,Terry Ayers,16.51163899,Terry,Ayers,False
116,Jessica Wilson,290.4095461,Jessica,Wilson,True
117,Daniel Frazier,190.3291917,Daniel,Frazier,True
118,Brian Welch,218.2505083,Brian,Welch,True
119,Carol Chavez,123.1834427,Carol,Chavez,True
120,Ethan Mcdonald,214.3503174,Ethan,Mcdonald,True
121,Gerald Martinez,57.54786356,Gerald,Martinez,False
122,Eric King,59.87926423,Eric,King,False
123,Sylvia Walters,110.9463132,Sylvia,Walters,True
124,Jonathan Lane,64.46710142,Jonathan,Lane,False
125,Matthew Turner,180.2628702,Matthew,Turner,True
126,Jeffrey Bauer,30.51584181,Jeffrey,Bauer,False
127,Jessica Shaffer,54.90193651,Jessica,Shaffer,False
128,Chris Spencer,251.3752831,Chris,Spencer,True
129,Mary Clarke,236.0529879,Mary,Clarke,True
130,Timothy Mendoza,105.9834816,Timothy,Mendoza,True
131,Alicia Hoffman,182.343699,Alicia,Hoffman,True
132,Joseph Gardner,144.8091344,Joseph,Gardner,True
133,Rachael Rangel,297.9496406,Rachael,Rangel,True
134,Jeffrey Harrington,194.2716338,Jeffrey,Harrington,True
135,Sophia Randolph,158.543126,Sophia,Randolph,True
136,Debbie Freeman,275.8719167,Debbie,Freeman,True
137,Matthew Braun,201.7749657,Matthew,Braun,True
138,Sheri Hudson,268.3748402,Sheri,Hudson,True
139,Mary King,204.0785754,Mary,King,True
140,Beth Davis,155.0680648,Beth,Davis,True
141,Margaret Castillo,193.9063244,Margaret,Castillo,True
142,Tommy Sandoval,172.283041,Tommy,Sandoval,True
143,Christopher Hines,46.55435299,Christopher,Hines,False
144,Richard Wright,208.3596969,Richard,Wright,True
145,Michael Brown,278.5230886,Michael,Brown,True
146,Nathan Yu,134.1895098,Nathan,Yu,True
147,Cameron Ford,248.8921382,Cameron,Ford,True
148,Carla Hayes,265.3745759,Carla,Hayes,True
149,Marissa Matthews,136.0925777,Marissa,Matthews,True
150,Dr. Samuel Thompson,237.1592416,Dr.,Samuel Thompson,True
151,Gary Figueroa,168.9447684,Gary,Figueroa,True
152,Michael West,146.8886849,Michael,West,True
153,Martin Walton,140.3400576,Martin,Walton,True
154,Zachary Lee,8.667301583,Zachary,Lee,False
155,Christopher Stephenson,67.01185633,Christopher,Stephenson,False
156,Eric Ortiz,117.7242458,Eric,Ortiz,True
157,Kara Pittman,56.23964364,Kara,Pittman,False
158,Andrew Cowan,295.9391812,Andrew,Cowan,True
159,Rhonda Moss DDS,259.0397505,Rhonda,Moss DDS,True
160,Sarah Williams,92.82627714,Sarah,Williams,False
161,Carolyn Collins,236.2472888,Carolyn,Collins,True
162,Larry Mooney,135.2701794,Larry,Mooney,True
163,Laura Livingston,294.2580699,Laura,Livingston,True
164,Candace Mckenzie,84.58145758,Candace,Mckenzie,False
165,Candace Wallace,124.7464543,Candace,Wallace,True
166,Jason White,218.4318041,Jason,White,True
167,Patricia Reynolds,89.01176826,Patricia,Reynolds,False
168,Michael Ellison,244.4717106,Michael,Ellison,True
169,Melissa Robles,238.4560967,Melissa,Robles,True
170,Heidi Fry,109.6264717,Heidi,Fry,True
171,James Smith,163.9573856,James,Smith,True
172,Charles Ruiz,48.45811847,Charles,Ruiz,False
173,Stephanie Green DDS,9.144974191,Stephanie,Green DDS,False
174,Stacey Garcia,106.6192039,Stacey,Garcia,True
175,Glenda Burke,206.3635063,Glenda,Burke,True
176,Zachary Alvarez,104.052369,Zachary,Alvarez,True
177,Rachel Shaw,2.448211506,Rachel,Shaw,False
178,Carmen Beard,269.623685,Carmen,Beard,True
179,Tony Daniels,186.9035775,Tony,Daniels,True
180,Randy Mora,70.74105982,Randy,Mora,False
181,George Aguirre,128.9497508,George,Aguirre,True
182,James Miller,297.0405639,James,Miller,True
183,Jacqueline Williams,17.30622156,Jacqueline,Williams,False
184,April Taylor,121.2898903,April,Taylor,True
185,Robert Johnson,131.6237779,Robert,Johnson,True
186,Gary White,280.9706506,Gary,White,True
187,Kim Lowe,192.7758756,Kim,Lowe,True
188,Samantha Jones,136.3415564,Samantha,Jones,True
189,Randy Lozano,16.30104965,Randy,Lozano,False
190,Arthur Chavez,6.903795238,Arthur,Chavez,False
191,Melissa Miller,162.6066945,Melissa,Miller,True
192,Leslie Mccormick,282.5021066,Leslie,Mccormick,True
193,Carlos Rubio,63.21802404,Carlos,Rubio,False
194,David York,86.53219266,David,York,False
195,Gabriella Anthony,7.638645405,Gabriella,Anthony,False
196,Olivia Poole,117.854172,Olivia,Poole,True
197,Wayne Wilson,74.67047228,Wayne,Wilson,False
198,Elizabeth Moore,267.3988136,Elizabeth,Moore,True
199,Janice Campbell,33.4533981,Janice,Campbell,False
200,Julie Johnson,63.64156782,Julie,Johnson,False
201,Misty Cantrell,189.0392091,Misty,Cantrell,True
202,Robert Soto,109.0138357,Robert,Soto,True
203,Brenda Cowan,60.84957659,Brenda,Cowan,False
204,Kelly Guerrero,259.5112157,Kelly,Guerrero,True
205,David Nichols,19.48524858,David,Nichols,False
206,Kayla Taylor,186.2356283,Kayla,Taylor,True
207,Antonio Garcia,125.4772126,Antonio,Garcia,True
208,Tyler Cisneros,186.5898295,Tyler,Cisneros,True
209,Jillian Crawford,158.8172773,Jillian,Crawford,True
210,Karl Pierce,132.7746811,Karl,Pierce,True
211,Joann Taylor,276.9621962,Joann,Taylor,True
212,Jennifer Jenkins,59.12858208,Jennifer,Jenkins,False
213,Nancy Brown,78.87073418,Nancy,Brown,False
214,Emma Munoz,120.8428757,Emma,Munoz,True
215,Shawn Galloway,141.0298622,Shawn,Galloway,True
216,Melissa Mcguire,213.0821204,Melissa,Mcguire,True
217,Bryan Chavez,125.396156,Bryan,Chavez,True
218,Fernando Salazar,256.1537305,Fernando,Salazar,True
219,Megan Moore,251.3477985,Megan,Moore,True
220,Robert Williams,175.209725,Robert,Williams,True
221,Dennis Sanford,29.45043264,Dennis,Sanford,False
222,Kimberly Herrera,154.8076505,Kimberly,Herrera,True
223,Gloria Potts,289.1049353,Gloria,Potts,True
224,Suzanne Barnett,8.470995351,Suzanne,Barnett,False
225,Leah Myers,44.5579739,Leah,Myers,False
226,Kylie Thomas,13.45341602,Kylie,Thomas,False
227,Amanda Murphy,50.55321552,Amanda,Murphy,False
228,Christopher Matthews,282.3634971,Christopher,Matthews,True
229,Nicole Parks,52.28399767,Nicole,Parks,False
230,Bobby Martin,205.4899695,Bobby,Martin,True
231,Kevin Chambers,121.1711016,Kevin,Chambers,True
232,Kimberly Lawson,250.2880742,Kimberly,Lawson,True
233,Rachel Lopez,101.8881123,Rachel,Lopez,True
234,Christopher Clay,219.3845088,Christopher,Clay,True
235,Daniel Martin,0.30019336,Daniel,Martin,False
236,William Taylor,66.55747014,William,Taylor,False
237,Steven Johnson,111.293282,Steven,Johnson,True
238,Daniel Miller,80.57756789,Daniel,Miller,False
239,Taylor Bryant,187.6315408,Taylor,Bryant,True
240,Lauren Jones,194.7926312,Lauren,Jones,True
241,Lindsey Robertson,22.73764686,Lindsey,Robertson,False
242,Allison Thomas,168.3334975,Allison,Thomas,True
243,Vernon Bishop,216.1870446,Vernon,Bishop,True
244,Susan Parsons,132.918526,Susan,Parsons,True
245,Brady Snyder,210.3960863,Brady,Snyder,True
246,Brent Mcgrath,174.6983567,Brent,Mcgrath,True
247,Peter Smith,278.6080181,Peter,Smith,True
248,Deborah Fox,248.1228234,Deborah,Fox,True
249,Heather Collins,147.4274074,Heather,Collins,True
250,Phillip Meyers,102.7977472,Phillip,Meyers,True
251,Nicholas Hubbard,275.4008364,Nicholas,Hubbard,True
252,Misty Ramirez,62.31681444,Misty,Ramirez,False
253,Scott Johnson,85.87388958,Scott,Johnson,False
254,Jay Nixon,253.4674787,Jay,Nixon,True
255,Tony Hall,61.19716522,Tony,Hall,False
256,Taylor Smith,41.49264584,Taylor,Smith,False
257,Mark Reynolds,70.49794436,Mark,Reynolds,False
258,Marilyn Christensen,155.4854533,Marilyn,Christensen,True
259,Denise Atkins,185.451601,Denise,Atkins,True
260,Melissa Gonzales,228.0025997,Melissa,Gonzales,True
261,Henry Hoffman,229.6628876,Henry,Hoffman,True
262,Daisy Davenport,59.52753518,Daisy,Davenport,False
263,Christopher Paul,122.7131699,Christopher,Paul,True
264,Kevin Craig,148.2010516,Kevin,Craig,True
265,Natalie Coleman,122.1440452,Natalie,Coleman,True
266,Jeremy Strickland,130.8435662,Jeremy,Strickland,True
267,Gary Bonilla,162.6152534,Gary,Bonilla,True
268,Amanda Richards,236.5957164,Amanda,Richards,True
269,Heidi Perez,245.1757228,Heidi,Perez,True
270,Robert Johnson,174.6922346,Robert,Johnson,True
271,Gary Mills,183.8363212,Gary,Mills,True
272,Chelsea Caldwell,16.12083718,Chelsea,Caldwell,False
273,John Frye,223.2774175,John,Frye,True
274,Michael Strong,220.4122322,Michael,Strong,True
275,Christopher Delgado,85.78279752,Christopher,Delgado,False
276,Whitney Wallace,253.4556183,Whitney,Wallace,True
277,Rebecca Martinez,59.68320226,Rebecca,Martinez,False
278,Marissa Mccoy,116.9634653,Marissa,Mccoy,True
279,Ricky Kerr,38.99584409,Ricky,Kerr,False
280,Anna Campbell,249.9213404,Anna,Campbell,True
281,Marie Walters,73.38808729,Marie,Walters,False
282,Robert Martin,38.22288302,Robert,Martin,False
283,Marc Davis,162.2802619,Marc,Davis,True
284,James Dixon,159.3794328,James,Dixon,True
285,Vicki Ramirez,186.1602427,Vicki,Ramirez,True
286,Krista Campbell,161.2338436,Krista,Campbell,True
287,Lauren Patterson,170.2123273,Lauren,Patterson,True
288,Megan Clark,290.2581556,Megan,Clark,True
289,Judy Zimmerman,219.5888255,Judy,Zimmerman,True
290,Joseph Williams MD,210.7841859,Joseph,Williams MD,True
291,Lori Acevedo,210.6602899,Lori,Acevedo,True
292,William Taylor,275.6331763,William,Taylor,True
293,Dawn Snyder,248.9840417,Dawn,Snyder,True
294,Jennifer Simmons,80.68353707,Jennifer,Simmons,False
295,Alyssa Nunez,163.8009002,Alyssa,Nunez,True
296,Robert Black,63.92800482,Robert,Black,False
297,Julia Young,239.2396683,Julia,Young,True
298,Melinda Barnes,227.2506352,Melinda,Barnes,True
299,Mr. Brett Armstrong,154.1341836,Mr.,Brett Armstrong,True
300,Erik Stevenson,246.0040722,Erik,Stevenson,True
301,Daniel George,34.80089308,Daniel,George,False
302,Lindsey Jones,197.7020395,Lindsey,Jones,True
303,Virginia Lopez,227.4255915,Virginia,Lopez,True
304,Andrew Brown,92.88318049,Andrew,Brown,False
305,Donna Lowery,264.8326094,Donna,Lowery,True
306,Alexis Andrade,6.313985183,Alexis,Andrade,False
307,Alyssa Pierce,47.74032516,Alyssa,Pierce,False
308,Tara Johnson,38.26768696,Tara,Johnson,False
309,Michael Brady,162.0594322,Michael,Brady,True
310,James Rhodes,51.92414009,James,Rhodes,False
311,Pamela Scott,42.43333392,Pamela,Scott,False
312,Martin Ward,170.9498248,Martin,Ward,True
313,Kristina Hernandez,107.6915718,Kristina,Hernandez,True
314,Robert Bush,87.18004191,Robert,Bush,False
315,Rebecca Larson,214.3895725,Rebecca,Larson,True
316,Brittany Watson,190.520018,Brittany,Watson,True
317,Ryan Ramirez,249.7287913,Ryan,Ramirez,True
318,Edward Burns,87.64996993,Edward,Burns,False
319,John Prince,31.73842034,John,Prince,False
320,Ashley Boyer,107.6625992,Ashley,Boyer,True
321,James Dean,61.6954542,James,Dean,False
322,Natalie Gordon,268.2800094,Natalie,Gordon,True
323,Ryan Smith,136.207813,Ryan,Smith,True
324,Stephen Thompson,54.29639714,Stephen,Thompson,False
325,William Delgado,96.25442517,William,Delgado,False
326,Brian Johnson,124.929208,Brian,Johnson,True
327,James Patel,216.6056429,James,Patel,True
328,Allen Rogers,145.4342467,Allen,Rogers,True
329,Aimee Reyes,277.6656815,Aimee,Reyes,True
330,Susan Williams,255.2153532,Susan,Williams,True
331,Edward Griffin,108.6205222,Edward,Griffin,True
332,Debra Baker,296.5003089,Debra,Baker,True
333,Yvette Kramer,279.9371174,Yvette,Kramer,True
334,Alyssa Williams DVM,270.8972241,Alyssa,Williams DVM,True
335,John Cunningham,173.0242833,John,Cunningham,True
336,Dana Gilbert,86.51917139,Dana,Gilbert,False
337,Stephen Henry,146.1515578,Stephen,Henry,True
338,Bradley James,137.9824935,Bradley,James,True
339,Melinda Peters,16.83003044,Melinda,Peters,False
340,Robert Goodman,213.5423984,Robert,Goodman,True
341,Leslie Moore,195.9630799,Leslie,Moore,True
342,Sarah Gray,270.7947288,Sarah,Gray,True
343,Amy Haynes,258.5062773,Amy,Haynes,True
344,Gary Dean,184.425152,Gary,Dean,True
345,Jonathan Duran,224.5361417,Jonathan,Duran,True
346,Elizabeth Ruiz,124.6694495,Elizabeth,Ruiz,True
347,Caitlin Lewis,196.3598959,Caitlin,Lewis,True
348,Micheal Blackburn,10.44317525,Micheal,Blackburn,False
349,Sheryl Mccarthy,159.9519731,Sheryl,Mccarthy,True
350,Lisa Smith,150.9122679,Lisa,Smith,True
351,Jared Juarez,247.5606457,Jared,Juarez,True
352,Brett Castro,217.3328585,Brett,Castro,True
353,Jessica Murray,175.3022184,Jessica,Murray,True
354,Austin Coffey,16.25913962,Austin,Coffey,False
355,Shelly Jacobs,3.856762052,Shelly,Jacobs,False
356,Elizabeth Logan,298.7423281,Elizabeth,Logan,True
357,Cody Anderson,128.0814967,Cody,Anderson,True
358,Kayla Wood,256.052876,Kayla,Wood,True
359,Paul Singh DDS,157.9636169,Paul,Singh DDS,True
360,James Mays,245.2433072,James,Mays,True
361,Thomas Moore,244.5914982,Thomas,Moore,True
362,Linda Pacheco,299.604007,Linda,Pacheco,True
363,Jenny Clark,66.32311808,Jenny,Clark,False
364,Patrick Guzman,223.4965981,Patrick,Guzman,True
365,Mr. Scott Peters,229.487331,Mr.,Scott Peters,True
366,John Stevenson,23.09927229,John,Stevenson,False
367,Kristina Brooks,154.6805826,Kristina,Brooks,True
368,Nancy Aguilar,63.38787527,Nancy,Aguilar,False
369,Robert Brown,132.7329536,Robert,Brown,True
370,Jessica Williams,255.9581577,Jessica,Williams,True
371,David Brown,290.5944806,David,Brown,True
372,Dorothy Munoz,242.56454,Dorothy,Munoz,True
373,Jason Lawson,76.09246622,Jason,Lawson,False
374,James Hall,167.9698314,James,Hall,True
375,Patricia Carpenter,46.08147123,Patricia,Carpenter,False
376,Jeff Cardenas,64.36052627,Jeff,Cardenas,False
377,Michelle Johnson,19.18945036,Michelle,Johnson,False
378,Frank Madden,17.34021424,Frank,Madden,False
379,George Tanner,291.4292653,George,Tanner,True
380,Dylan Johnson,40.65328581,Dylan,Johnson,False
381,Pamela King,282.4817647,Pamela,King,True
382,Jesse Frazier,95.66568525,Jesse,Frazier,False
383,Edward Russell,103.2235913,Edward,Russell,True
384,Diana Mcdonald,183.096436,Diana,Mcdonald,True
385,Randy Dawson,192.1441514,Randy,Dawson,True
386,Jasmine Williams,286.1692336,Jasmine,Williams,True
387,Robert Smith,124.219007,Robert,Smith,True
388,Sara Young,183.9944858,Sara,Young,True
389,Samantha Gonzalez,205.5899257,Samantha,Gonzalez,True
390,Christina Torres,286.2681619,Christina,Torres,True
391,Maria Bailey,141.9076294,Maria,Bailey,True
392,Charles Bartlett,94.22658657,Charles,Bartlett,False
393,Natalie Parker,238.0161589,Natalie,Parker,True
394,Paula Hernandez DDS,48.88381678,Paula,Hernandez DDS,False
395,Jessica Jenkins,14.94777896,Jessica,Jenkins,False
396,Drew Henson,223.0761309,Drew,Henson,True
397,Michael Davis,17.98090899,Michael,Davis,False
398,Ian Ramos,23.68465648,Ian,Ramos,False
399,Anna Wright,235.5824596,Anna,Wright,True
400,Ashley Anderson,74.40865878,Ashley,Anderson,False
401,Jennifer Wright,298.1278773,Jennifer,Wright,True
402,Nicole Lopez,67.72888616,Nicole,Lopez,False
403,Tara Ellis,21.92761435,Tara,Ellis,False
404,Hannah Elliott,42.35003061,Hannah,Elliott,False
405,Gavin Rodriguez,116.3664242,Gavin,Rodriguez,True
406,Johnny Jackson,291.5968901,Johnny,Jackson,True
407,Martin Garrett,147.0670556,Martin,Garrett,True
408,Terri Hayes,167.3609673,Terri,Hayes,True
409,Adam Huang,260.8409357,Adam,Huang,True
410,Carolyn Garner,104.4106535,Carolyn,Garner,True
411,Lisa Lee,130.2202511,Lisa,Lee,True
412,Rodney Escobar,8.711600244,Rodney,Escobar,False
413,Michael Johnson,144.5450063,Michael,Johnson,True
414,Michelle Carter DVM,55.94822858,Michelle,Carter DVM,False
415,John Dunn,81.5436983,John,Dunn,False
416,Terry Pierce,297.8661824,Terry,Pierce,True
417,David Buck,258.7910904,David,Buck,True
418,Jennifer Newman,149.3096363,Jennifer,Newman,True
419,Cynthia Lee,246.5934196,Cynthia,Lee,True
420,Sylvia Clark,299.5252351,Sylvia,Clark,True
421,Joseph Taylor,86.08285036,Joseph,Taylor,False
422,Kathleen Barton,37.4218087,Kathleen,Barton,False
423,Michael Harris Jr.,52.86340979,Michael,Harris Jr.,False
424,Eric Benson,172.1967218,Eric,Benson,True
425,Curtis Butler,44.51322087,Curtis,Butler,False
426,Brittany Le,51.04878875,Brittany,Le,False
427,Jeremiah Sims,101.161794,Jeremiah,Sims,True
428,David Davis,290.4227547,David,Davis,True
429,Tiffany Bond,181.4895479,Tiffany,Bond,True
430,Patricia Chen,61.60059465,Patricia,Chen,False
431,William Crawford,181.7603749,William,Crawford,True
432,Christina Roberts,29.28680092,Christina,Roberts,False
433,Jerome Scott,232.1441336,Jerome,Scott,True
434,Jeffery Walker,272.0840276,Jeffery,Walker,True
435,Todd Alvarez,212.1733632,Todd,Alvarez,True
436,John Henry,223.9911858,John,Henry,True
437,James Miles,156.3675778,James,Miles,True
438,Michael Downs,31.19720611,Michael,Downs,False
439,Kayla Wheeler,6.095911005,Kayla,Wheeler,False
440,Charles Martin,161.2752287,Charles,Martin,True
441,Harold Bennett,135.042355,Harold,Bennett,True
442,Michael Swanson,200.3923528,Michael,Swanson,True
443,Janet Mcdonald,79.80353707,Janet,Mcdonald,False
444,Brett Willis,244.4064115,Brett,Willis,True
445,Jacob Smith,27.92322882,Jacob,Smith,False
446,Alexa Webb,167.5688585,Alexa,Webb,True
447,Louis Klein,40.12200004,Louis,Klein,False
448,Tony Yu,15.74238645,Tony,Yu,False
449,Lisa Goodman,121.0784096,Lisa,Goodman,True
450,Kimberly Hernandez,36.97352302,Kimberly,Hernandez,False
451,Phillip Friedman,145.8418308,Phillip,Friedman,True
452,Brian Lam,2.900394487,Brian,Lam,False
453,Kristin Wilkins,251.8510287,Kristin,Wilkins,True
454,Joshua Lynch,188.878111,Joshua,Lynch,True
455,Blake Mclaughlin,276.6512157,Blake,Mclaughlin,True
456,Billy Olsen,10.00480704,Billy,Olsen,False
457,Shawn Brock,179.6158086,Shawn,Brock,True
458,Danielle Jones,222.6952076,Danielle,Jones,True
459,Jim Gomez,60.12919733,Jim,Gomez,False
460,Sabrina Henderson,178.7453853,Sabrina,Henderson,True
461,David Pennington,245.3184012,David,Pennington,True
462,Deborah Williams,137.015971,Deborah,Williams,True
463,Stephanie Bowman,227.0047204,Stephanie,Bowman,True
464,Joseph Frazier,176.4533023,Joseph,Frazier,True
465,Ryan Mclaughlin,249.864376,Ryan,Mclaughlin,True
466,Tony Hall,135.8550959,Tony,Hall,True
467,Timothy Martin,289.2653637,Timothy,Martin,True
468,John Obrien,261.8481216,John,Obrien,True
469,Barbara Johnson,53.80589508,Barbara,Johnson,False
470,Brandon Marshall,139.8477827,Brandon,Marshall,True
471,Carrie Miller,11.55550873,Carrie,Miller,False
472,Samantha Dean,261.6193407,Samantha,Dean,True
473,Jamie Wilson,87.74932378,Jamie,Wilson,False
474,Carlos Acosta,236.6035296,Carlos,Acosta,True
475,Amy Bennett,228.7494578,Amy,Bennett,True
476,Dominique Wells,116.6435954,Dominique,Wells,True
477,Sarah Bright,237.5160783,Sarah,Bright,True
478,Michael Barton,111.5883392,Michael,Barton,True
479,Rebecca Anderson,172.3062642,Rebecca,Anderson,True
480,Megan Riggs,31.41542458,Megan,Riggs,False
481,Whitney Andrews,44.1176993,Whitney,Andrews,False
482,Catherine Jones,127.0135122,Catherine,Jones,True
483,William Andrews,236.2180763,William,Andrews,True
484,Kathleen Edwards,158.3239538,Kathleen,Edwards,True
485,Roger Frost,220.4688874,Roger,Frost,True
486,Justin Johnson,255.8491608,Justin,Johnson,True
487,Valerie Young,265.1702577,Valerie,Young,True
488,Samantha Perez,239.9469797,Samantha,Perez,True
489,Devin Allen,72.15833791,Devin,Allen,False
490,Stephanie Little,238.9238728,Stephanie,Little,True
491,Melanie Miller,27.5070475,Melanie,Miller,False
492,Erica Beck,2.408526397,Erica,Beck,False
493,Toni Dunn,168.373362,Toni,Dunn,True
494,Eric Dunn,211.8975891,Eric,Dunn,True
495,David Jackson,169.3550529,David,Jackson,True
496,Melanie Gates,94.66629008,Melanie,Gates,False
497,Heather Pierce,17.41061969,Heather,Pierce,False
498,Jordan Lewis,153.0146174,Jordan,Lewis,True
499,Michele Johnson,255.7149801,Michele,Johnson,True
500,Samantha Ryan,249.4925261,Samantha,Ryan,True
501,Christopher Hudson,201.9997518,Christopher,Hudson,True
502,Zachary Williams,106.5992164,Zachary,Williams,True
503,Donna Davis,66.72879991,Donna,Davis,False
504,Jordan Erickson,237.7720748,Jordan,Erickson,True
